Resetting envs
Envs resetted
Total steps: 264000
Total steps: 266400
Total steps: 268800
Total steps: 271200
Total steps: 273600
Total steps: 276000
Total steps: 278400
Total steps: 280800
Total steps: 283200
Total steps: 285600
Total steps: 288000
Total steps: 290400
Total steps: 292800
Total steps: 295200
Total steps: 297600
Total steps: 300000
Total steps: 302400
Total steps: 304800
Total steps: 307200
Total steps: 309600
Total steps: 312000
Total steps: 314400
Total steps: 316800
Total steps: 319200
Total steps: 321600
Total steps: 324000
Total steps: 326400
Total steps: 328800
Total steps: 331200
Total steps: 333600
Total steps: 336000
Total steps: 338400
Total steps: 340800
Total steps: 343200
Total steps: 345600
Total steps: 348000
Total steps: 350400
Total steps: 352800
Total steps: 355200
Total steps: 357600
Total steps: 360000
Total steps: 362400
Total steps: 364800
Total steps: 367200
Total steps: 369600
Total steps: 372000
Total steps: 374400
Total steps: 376800
Total steps: 379200
Total steps: 381600
Total steps: 384000
Total steps: 386400
Total steps: 388800
Total steps: 391200
Total steps: 393600
Total steps: 396000
Total steps: 398400
Total steps: 400800
Total steps: 403200
Total steps: 405600
Total steps: 408000
Total steps: 410400
Total steps: 412800
Total steps: 415200
Total steps: 417600
Total steps: 420000
Total steps: 422400
Total steps: 424800
Total steps: 427200
Total steps: 429600
Total steps: 432000
Total steps: 434400
Total steps: 436800
Total steps: 439200
Total steps: 441600
Total steps: 444000
Total steps: 446400
Total steps: 448800
Total steps: 451200
Total steps: 453600
Total steps: 456000
Total steps: 458400
Total steps: 460800
Total steps: 463200
Total steps: 465600
Total steps: 468000
Total steps: 470400
Total steps: 472800
Total steps: 475200
Total steps: 477600
Total steps: 480000
Total steps: 482400
Total steps: 484800
Total steps: 487200
Total steps: 489600
Total steps: 492000
Total steps: 494400
Total steps: 496800
Total steps: 499200
Total steps: 501600
Total steps: 504000
Total steps: 506400
Total steps: 508800
Total steps: 511200
Total steps: 513600
Total steps: 516000
Total steps: 518400
Total steps: 520800
Total steps: 523200
Total steps: 525600
Total steps: 528000
Total steps: 530400
Total steps: 532800
Total steps: 535200
Total steps: 537600
Total steps: 540000
Total steps: 542400
Total steps: 544800
Total steps: 547200
Total steps: 549600
Total steps: 552000
Total steps: 554400
Total steps: 556800
Total steps: 559200
Total steps: 561600
Total steps: 564000
Total steps: 566400
Total steps: 568800
Total steps: 571200
Total steps: 573600
Total steps: 576000
Total steps: 578400
Total steps: 580800
Total steps: 583200
Total steps: 585600
Total steps: 588000
Total steps: 590400
Total steps: 592800
Total steps: 595200
Total steps: 597600
Total steps: 600000
Total steps: 602400
Total steps: 604800
Total steps: 607200
Total steps: 609600
Total steps: 612000
Total steps: 614400
Total steps: 616800
Total steps: 619200
Total steps: 621600
Total steps: 624000
Total steps: 626400
Total steps: 628800
Total steps: 631200
Total steps: 633600
Total steps: 636000
Total steps: 638400
Total steps: 640800
Total steps: 643200
Total steps: 645600
Total steps: 648000
Total steps: 650400
Total steps: 652800
Total steps: 655200
Total steps: 657600
Total steps: 660000
Total steps: 662400
Total steps: 664800
Total steps: 667200
Total steps: 669600
Total steps: 672000
Total steps: 674400
Total steps: 676800
Total steps: 679200
Total steps: 681600
Total steps: 684000
Total steps: 686400
Total steps: 688800
Total steps: 691200
Total steps: 693600
Total steps: 696000
Total steps: 698400
Total steps: 700800
Total steps: 703200
Total steps: 705600
Total steps: 708000
Total steps: 710400
Total steps: 712800
Total steps: 715200
Total steps: 717600
Total steps: 720000
Total steps: 722400
Total steps: 724800
Total steps: 727200
Total steps: 729600
Total steps: 732000
Total steps: 734400
Total steps: 736800
Total steps: 739200
Total steps: 741600
Total steps: 744000
Total steps: 746400
Total steps: 748800
Total steps: 751200
Total steps: 753600
Total steps: 756000
Total steps: 758400
Total steps: 760800
Total steps: 763200
Total steps: 765600
Total steps: 768000
Total steps: 770400
Total steps: 772800
Total steps: 775200
Total steps: 777600
Total steps: 780000
Total steps: 782400
Total steps: 784800
Total steps: 787200
Total steps: 789600
Total steps: 792000
Total steps: 794400
Total steps: 796800
Total steps: 799200
Total steps: 801600
Total steps: 804000
Total steps: 806400
Total steps: 808800
Total steps: 811200
Total steps: 813600
Total steps: 816000
Total steps: 818400
Total steps: 820800
Total steps: 823200
Total steps: 825600
Total steps: 828000
Total steps: 830400
Total steps: 832800
Total steps: 835200
Total steps: 837600
Total steps: 840000
Total steps: 842400
Total steps: 844800
Total steps: 847200
Total steps: 849600
Total steps: 852000
Total steps: 854400
Total steps: 856800
Total steps: 859200
Total steps: 861600
Total steps: 864000
Total steps: 866400
Total steps: 868800
Total steps: 871200
Total steps: 873600
Total steps: 876000
Total steps: 878400
Total steps: 880800
Total steps: 883200
Total steps: 885600
Total steps: 888000
Total steps: 890400
Total steps: 892800
Total steps: 895200
Total steps: 897600
Total steps: 900000
Total steps: 902400
Total steps: 904800
Total steps: 907200
Total steps: 909600
Total steps: 912000
Total steps: 914400
Total steps: 916800
Total steps: 919200
Total steps: 921600
Total steps: 924000
Total steps: 926400
Total steps: 928800
Total steps: 931200
Total steps: 933600
Total steps: 936000
Total steps: 938400
Total steps: 940800
Total steps: 943200
Total steps: 945600
Total steps: 948000
Total steps: 950400
Total steps: 952800
Total steps: 955200
Total steps: 957600
Total steps: 960000
Total steps: 962400
Total steps: 964800
Total steps: 967200
Total steps: 969600
Total steps: 972000
Total steps: 974400
Total steps: 976800
Total steps: 979200
Total steps: 981600
Total steps: 984000
Total steps: 986400
Total steps: 988800
Total steps: 991200
Total steps: 993600
Total steps: 996000
Total steps: 998400
Total steps: 1000800
Total steps: 1003200
Total steps: 1005600
Total steps: 1008000
Total steps: 1010400
Total steps: 1012800
Total steps: 1015200
Total steps: 1017600
Total steps: 1020000
Total steps: 1022400
Total steps: 1024800
Total steps: 1027200
Total steps: 1029600
Total steps: 1032000
Total steps: 1034400
Total steps: 1036800
Total steps: 1039200
Total steps: 1041600
Total steps: 1044000
Total steps: 1046400
Total steps: 1048800
Total steps: 1051200
Total steps: 1053600
Total steps: 1056000
Total steps: 1058400
Total steps: 1060800
Total steps: 1063200
Total steps: 1065600
Total steps: 1068000
Total steps: 1070400
Total steps: 1072800
Total steps: 1075200
Total steps: 1077600
Total steps: 1080000
Total steps: 1082400
Total steps: 1084800
Total steps: 1087200
Total steps: 1089600
Total steps: 1092000
Total steps: 1094400
Total steps: 1096800
Total steps: 1099200
Total steps: 1101600
Total steps: 1104000
Total steps: 1106400
Total steps: 1108800
Total steps: 1111200
Total steps: 1113600
Total steps: 1116000
Total steps: 1118400
Total steps: 1120800
Total steps: 1123200
Total steps: 1125600
Total steps: 1128000
Total steps: 1130400
Total steps: 1132800
Total steps: 1135200
Total steps: 1137600
Total steps: 1140000
Total steps: 1142400
Total steps: 1144800
Total steps: 1147200
Total steps: 1149600
Total steps: 1152000
Total steps: 1154400
Total steps: 1156800
Total steps: 1159200
Total steps: 1161600
Total steps: 1164000
Total steps: 1166400
Total steps: 1168800
Total steps: 1171200
Total steps: 1173600
Total steps: 1176000
Total steps: 1178400
Total steps: 1180800
Total steps: 1183200
Total steps: 1185600
Total steps: 1188000
Total steps: 1190400
Total steps: 1192800
Total steps: 1195200
Total steps: 1197600
Total steps: 1200000
Total steps: 1202400
Total steps: 1204800
Total steps: 1207200
Total steps: 1209600
Total steps: 1212000
Total steps: 1214400
Total steps: 1216800
Total steps: 1219200
Total steps: 1221600
Total steps: 1224000
Total steps: 1226400
Total steps: 1228800
Total steps: 1231200
Total steps: 1233600
Total steps: 1236000
Total steps: 1238400
Total steps: 1240800
Total steps: 1243200
Total steps: 1245600
Total steps: 1248000
Total steps: 1250400
Total steps: 1252800
Total steps: 1255200
Total steps: 1257600
Total steps: 1260000
Total steps: 1262400
Total steps: 1264800
Total steps: 1267200
Total steps: 1269600
Total steps: 1272000
Total steps: 1274400
Total steps: 1276800
Total steps: 1279200
Total steps: 1281600
Total steps: 1284000
Total steps: 1286400
Total steps: 1288800
Total steps: 1291200
Total steps: 1293600
Total steps: 1296000
Total steps: 1298400
Total steps: 1300800
Total steps: 1303200
Total steps: 1305600
Total steps: 1308000
Total steps: 1310400
Total steps: 1312800
Total steps: 1315200
Total steps: 1317600
Total steps: 1320000
Total steps: 1322400
Total steps: 1324800
Total steps: 1327200
Total steps: 1329600
Total steps: 1332000
Total steps: 1334400
Total steps: 1336800
Total steps: 1339200
Total steps: 1341600
Total steps: 1344000
Total steps: 1346400
Total steps: 1348800
Total steps: 1351200
Total steps: 1353600
Total steps: 1356000
Total steps: 1358400
Total steps: 1360800
Total steps: 1363200
Total steps: 1365600
Total steps: 1368000
Total steps: 1370400
Total steps: 1372800
Total steps: 1375200
Total steps: 1377600
Total steps: 1380000
Total steps: 1382400
Total steps: 1384800
Total steps: 1387200
Total steps: 1389600
Total steps: 1392000
Total steps: 1394400
Total steps: 1396800
Total steps: 1399200
Total steps: 1401600
Total steps: 1404000
Total steps: 1406400
Total steps: 1408800
Total steps: 1411200
Total steps: 1413600
Total steps: 1416000
Total steps: 1418400
Total steps: 1420800
Total steps: 1423200
Total steps: 1425600
Total steps: 1428000
Total steps: 1430400
Total steps: 1432800
Total steps: 1435200
Total steps: 1437600
Total steps: 1440000
Total steps: 1442400
Total steps: 1444800
Total steps: 1447200
Total steps: 1449600
Total steps: 1452000
Total steps: 1454400
Total steps: 1456800
Total steps: 1459200
Total steps: 1461600
Total steps: 1464000
Total steps: 1466400
Total steps: 1468800
Total steps: 1471200
Total steps: 1473600
Total steps: 1476000
Total steps: 1478400
Total steps: 1480800
Total steps: 1483200
Total steps: 1485600
Total steps: 1488000
Total steps: 1490400
Total steps: 1492800
Total steps: 1495200
Total steps: 1497600
Total steps: 1500000
Total steps: 1502400
Total steps: 1504800
Total steps: 1507200
Total steps: 1509600
Total steps: 1512000
Total steps: 1514400
Total steps: 1516800
Total steps: 1519200
Total steps: 1521600
Total steps: 1524000
Total steps: 1526400
Total steps: 1528800
Total steps: 1531200
Total steps: 1533600
Total steps: 1536000
Total steps: 1538400
Total steps: 1540800
Total steps: 1543200
Total steps: 1545600
Total steps: 1548000
Total steps: 1550400
Total steps: 1552800
Total steps: 1555200
Total steps: 1557600
Total steps: 1560000
Total steps: 1562400
Total steps: 1564800
Total steps: 1567200
Total steps: 1569600
Total steps: 1572000
Total steps: 1574400
Total steps: 1576800
Total steps: 1579200
Total steps: 1581600
Total steps: 1584000
Total steps: 1586400
Total steps: 1588800
Total steps: 1591200
Total steps: 1593600
Total steps: 1596000
Total steps: 1598400
Total steps: 1600800
Total steps: 1603200
Total steps: 1605600
Total steps: 1608000
Total steps: 1610400
Total steps: 1612800
Total steps: 1615200
Total steps: 1617600
Total steps: 1620000
Total steps: 1622400
Total steps: 1624800
Total steps: 1627200
Total steps: 1629600
Total steps: 1632000
Total steps: 1634400
Total steps: 1636800
Total steps: 1639200
Total steps: 1641600
Total steps: 1644000
Total steps: 1646400
Total steps: 1648800
Total steps: 1651200
Total steps: 1653600
Total steps: 1656000
Total steps: 1658400
Total steps: 1660800
Total steps: 1663200
Total steps: 1665600
Total steps: 1668000
Total steps: 1670400
Total steps: 1672800
Total steps: 1675200
Total steps: 1677600
Total steps: 1680000
Total steps: 1682400
Total steps: 1684800
Total steps: 1687200
Total steps: 1689600
Total steps: 1692000
Total steps: 1694400
Total steps: 1696800
Total steps: 1699200
Total steps: 1701600
Total steps: 1704000
Total steps: 1706400
Total steps: 1708800
Total steps: 1711200
Total steps: 1713600
Total steps: 1716000
Total steps: 1718400
Total steps: 1720800
Total steps: 1723200
Total steps: 1725600
Total steps: 1728000
Total steps: 1730400
Total steps: 1732800
Total steps: 1735200
Total steps: 1737600
Total steps: 1740000
Total steps: 1742400
Total steps: 1744800
Total steps: 1747200
Total steps: 1749600
Total steps: 1752000
Total steps: 1754400
Total steps: 1756800
Total steps: 1759200
Total steps: 1761600
Total steps: 1764000
Total steps: 1766400
Total steps: 1768800
Total steps: 1771200
Total steps: 1773600
Total steps: 1776000
Total steps: 1778400
Total steps: 1780800
Total steps: 1783200
Total steps: 1785600
Total steps: 1788000
Total steps: 1790400
Total steps: 1792800
Total steps: 1795200
Total steps: 1797600
Total steps: 1800000
Total steps: 1802400
Total steps: 1804800
Total steps: 1807200
Total steps: 1809600
Total steps: 1812000
Total steps: 1814400
Total steps: 1816800
Total steps: 1819200
Total steps: 1821600
Total steps: 1824000
Total steps: 1826400
Total steps: 1828800
Total steps: 1831200
Total steps: 1833600
Total steps: 1836000
Total steps: 1838400
Total steps: 1840800
Total steps: 1843200
Total steps: 1845600
Total steps: 1848000
Total steps: 1850400
Total steps: 1852800
Total steps: 1855200
Total steps: 1857600
Total steps: 1860000
Total steps: 1862400
Total steps: 1864800
Total steps: 1867200
Total steps: 1869600
Total steps: 1872000
Total steps: 1874400
Total steps: 1876800
Total steps: 1879200
Total steps: 1881600
Total steps: 1884000
Total steps: 1886400
Total steps: 1888800
Total steps: 1891200
Total steps: 1893600
Total steps: 1896000
Total steps: 1898400
Total steps: 1900800
Total steps: 1903200
Total steps: 1905600
Total steps: 1908000
Total steps: 1910400
Total steps: 1912800
Total steps: 1915200
Total steps: 1917600
Total steps: 1920000
Total steps: 1922400
Total steps: 1924800
Total steps: 1927200
Total steps: 1929600
Total steps: 1932000
Total steps: 1934400
Total steps: 1936800
Total steps: 1939200
Total steps: 1941600
Total steps: 1944000
Total steps: 1946400
Total steps: 1948800
Total steps: 1951200
Total steps: 1953600
Total steps: 1956000
Total steps: 1958400
Total steps: 1960800
Total steps: 1963200
Total steps: 1965600
Total steps: 1968000
Total steps: 1970400
Total steps: 1972800
Total steps: 1975200
Total steps: 1977600
Total steps: 1980000
Total steps: 1982400
Total steps: 1984800
Total steps: 1987200
Total steps: 1989600
Total steps: 1992000
Total steps: 1994400
Total steps: 1996800
Total steps: 1999200
Total steps: 2001600
Total steps: 2004000
Total steps: 2006400
Total steps: 2008800
Total steps: 2011200
Total steps: 2013600
Total steps: 2016000
Total steps: 2018400
Total steps: 2020800
Total steps: 2023200
Total steps: 2025600
Total steps: 2028000
Total steps: 2030400
Total steps: 2032800
Total steps: 2035200
Total steps: 2037600
Total steps: 2040000
Total steps: 2042400
Total steps: 2044800
Total steps: 2047200
Total steps: 2049600
Total steps: 2052000
Total steps: 2054400
Total steps: 2056800
Total steps: 2059200
Total steps: 2061600
Total steps: 2064000
Total steps: 2066400
Total steps: 2068800
Total steps: 2071200
Total steps: 2073600
Total steps: 2076000
Total steps: 2078400
Total steps: 2080800
Total steps: 2083200
Total steps: 2085600
Total steps: 2088000
Total steps: 2090400
Total steps: 2092800
Total steps: 2095200
Total steps: 2097600
Total steps: 2100000
Total steps: 2102400
Total steps: 2104800
Total steps: 2107200
Total steps: 2109600
Total steps: 2112000
Total steps: 2114400
Total steps: 2116800
Total steps: 2119200
Total steps: 2121600
Total steps: 2124000
Total steps: 2126400
Total steps: 2128800
Total steps: 2131200
Total steps: 2133600
Total steps: 2136000
Total steps: 2138400
Total steps: 2140800
Total steps: 2143200
Total steps: 2145600
Total steps: 2148000
Total steps: 2150400
Total steps: 2152800
Total steps: 2155200
Total steps: 2157600
Total steps: 2160000
Total steps: 2162400
Total steps: 2164800
Total steps: 2167200
Total steps: 2169600
Total steps: 2172000
Total steps: 2174400
Total steps: 2176800
Total steps: 2179200
Total steps: 2181600
Total steps: 2184000
Total steps: 2186400
Total steps: 2188800
Total steps: 2191200
Total steps: 2193600
Total steps: 2196000
Total steps: 2198400
Total steps: 2200800
Total steps: 2203200
Total steps: 2205600
Total steps: 2208000
Total steps: 2210400
Total steps: 2212800
Total steps: 2215200
Total steps: 2217600
Total steps: 2220000
Total steps: 2222400
Total steps: 2224800
Total steps: 2227200
Total steps: 2229600
Total steps: 2232000
Total steps: 2234400
Total steps: 2236800
Total steps: 2239200
Total steps: 2241600
Total steps: 2244000
Total steps: 2246400
Total steps: 2248800
Total steps: 2251200
Total steps: 2253600
Total steps: 2256000
Total steps: 2258400
Total steps: 2260800
Total steps: 2263200
Total steps: 2265600
Total steps: 2268000
Total steps: 2270400
Total steps: 2272800
Total steps: 2275200
Total steps: 2277600
Total steps: 2280000
Total steps: 2282400
Total steps: 2284800
Total steps: 2287200
Total steps: 2289600
Total steps: 2292000
Total steps: 2294400
Total steps: 2296800
Total steps: 2299200
Total steps: 2301600
Total steps: 2304000
Total steps: 2306400
Total steps: 2308800
Total steps: 2311200
Total steps: 2313600
Total steps: 2316000
Total steps: 2318400
Total steps: 2320800
Total steps: 2323200
Total steps: 2325600
Total steps: 2328000
Total steps: 2330400
Total steps: 2332800
Total steps: 2335200
Total steps: 2337600
Total steps: 2340000
Total steps: 2342400
Total steps: 2344800
Total steps: 2347200
Total steps: 2349600
Total steps: 2352000
Total steps: 2354400
Total steps: 2356800
Total steps: 2359200
Total steps: 2361600
Total steps: 2364000
Total steps: 2366400
Total steps: 2368800
Total steps: 2371200
Total steps: 2373600
Total steps: 2376000
Total steps: 2378400
Total steps: 2380800
Total steps: 2383200
Total steps: 2385600
Total steps: 2388000
Total steps: 2390400
Total steps: 2392800
Total steps: 2395200
Total steps: 2397600
Total steps: 2400000
Total steps: 2402400
Total steps: 2404800
Total steps: 2407200
Total steps: 2409600
Total steps: 2412000
Total steps: 2414400
Total steps: 2416800
Total steps: 2419200
Total steps: 2421600
Total steps: 2424000
Total steps: 2426400
Total steps: 2428800
Total steps: 2431200
Total steps: 2433600
Total steps: 2436000
Total steps: 2438400
Total steps: 2440800
Total steps: 2443200
Total steps: 2445600
Total steps: 2448000
Total steps: 2450400
Total steps: 2452800
Total steps: 2455200
Total steps: 2457600
Total steps: 2460000
Total steps: 2462400
Total steps: 2464800
Total steps: 2467200
Total steps: 2469600
Total steps: 2472000
Total steps: 2474400
Total steps: 2476800
Total steps: 2479200
Total steps: 2481600
Total steps: 2484000
Total steps: 2486400
Total steps: 2488800
Total steps: 2491200
Total steps: 2493600
Total steps: 2496000
Total steps: 2498400
Total steps: 2500800
Total steps: 2503200
Total steps: 2505600
Total steps: 2508000
Total steps: 2510400
Total steps: 2512800
Total steps: 2515200
Total steps: 2517600
Total steps: 2520000
Total steps: 2522400
Total steps: 2524800
Total steps: 2527200
Total steps: 2529600
Total steps: 2532000
Total steps: 2534400
Total steps: 2536800
Total steps: 2539200
Total steps: 2541600
Total steps: 2544000
Total steps: 2546400
Total steps: 2548800
Total steps: 2551200
Total steps: 2553600
Total steps: 2556000
Total steps: 2558400
Total steps: 2560800
Total steps: 2563200
Total steps: 2565600
Total steps: 2568000
Total steps: 2570400
Total steps: 2572800
Total steps: 2575200
Total steps: 2577600
Total steps: 2580000
Total steps: 2582400
Total steps: 2584800
Total steps: 2587200
Total steps: 2589600
Total steps: 2592000
Total steps: 2594400
Total steps: 2596800
Total steps: 2599200
Total steps: 2601600
Total steps: 2604000
Total steps: 2606400
Total steps: 2608800
Total steps: 2611200
Total steps: 2613600
Total steps: 2616000
Total steps: 2618400
Total steps: 2620800
Total steps: 2623200
Total steps: 2625600
Total steps: 2628000
Total steps: 2630400
Total steps: 2632800
Total steps: 2635200
Total steps: 2637600
Total steps: 2640000
Total steps: 2642400
Total steps: 2644800
Total steps: 2647200
Total steps: 2649600
Total steps: 2652000
Total steps: 2654400
Total steps: 2656800
Total steps: 2659200
Total steps: 2661600
Total steps: 2664000
Total steps: 2666400
Total steps: 2668800
Total steps: 2671200
Total steps: 2673600
Total steps: 2676000
Total steps: 2678400
Total steps: 2680800
Total steps: 2683200
Total steps: 2685600
Total steps: 2688000
Total steps: 2690400
Total steps: 2692800
Total steps: 2695200
Total steps: 2697600
Total steps: 2700000
Total steps: 2702400
Total steps: 2704800
Total steps: 2707200
Total steps: 2709600
Total steps: 2712000
Total steps: 2714400
Total steps: 2716800
Total steps: 2719200
Total steps: 2721600
Total steps: 2724000
Total steps: 2726400
Total steps: 2728800
Total steps: 2731200
Total steps: 2733600
Total steps: 2736000
Total steps: 2738400
Total steps: 2740800
Total steps: 2743200
Total steps: 2745600
Total steps: 2748000
Total steps: 2750400
Total steps: 2752800
Total steps: 2755200
Total steps: 2757600
Total steps: 2760000
Total steps: 2762400
Total steps: 2764800
Total steps: 2767200
Total steps: 2769600
Total steps: 2772000
Total steps: 2774400
Total steps: 2776800
Total steps: 2779200
Total steps: 2781600
Total steps: 2784000
Total steps: 2786400
Total steps: 2788800
Total steps: 2791200
Total steps: 2793600
Total steps: 2796000
Total steps: 2798400
Total steps: 2800800
Total steps: 2803200
Total steps: 2805600
Total steps: 2808000
Total steps: 2810400
Total steps: 2812800
Total steps: 2815200
Total steps: 2817600
Total steps: 2820000
Total steps: 2822400
Total steps: 2824800
Total steps: 2827200
Total steps: 2829600
Total steps: 2832000
Total steps: 2834400
Total steps: 2836800
Total steps: 2839200
Total steps: 2841600
Total steps: 2844000
Total steps: 2846400
Total steps: 2848800
Total steps: 2851200
Total steps: 2853600
Total steps: 2856000
Total steps: 2858400
Total steps: 2860800
Total steps: 2863200
Total steps: 2865600
Total steps: 2868000
Total steps: 2870400
Total steps: 2872800
Total steps: 2875200
Total steps: 2877600
Total steps: 2880000
Total steps: 2882400
Total steps: 2884800
Total steps: 2887200
Total steps: 2889600
Total steps: 2892000
Total steps: 2894400
Total steps: 2896800
Total steps: 2899200
Total steps: 2901600
Total steps: 2904000
Total steps: 2906400
Total steps: 2908800
Total steps: 2911200
Total steps: 2913600
Total steps: 2916000
Total steps: 2918400
Total steps: 2920800
Total steps: 2923200
Total steps: 2925600
Total steps: 2928000
Total steps: 2930400
Total steps: 2932800
Total steps: 2935200
Total steps: 2937600
Total steps: 2940000
Total steps: 2942400
Total steps: 2944800
Total steps: 2947200
Total steps: 2949600
Total steps: 2952000
Total steps: 2954400
Total steps: 2956800
Total steps: 2959200
Total steps: 2961600
Total steps: 2964000
Total steps: 2966400
Total steps: 2968800
Total steps: 2971200
Total steps: 2973600
Total steps: 2976000
Total steps: 2978400
Total steps: 2980800
Total steps: 2983200
Total steps: 2985600
Total steps: 2988000
Total steps: 2990400
Total steps: 2992800
Total steps: 2995200
Total steps: 2997600
Total steps: 3000000
Total steps: 3002400
Total steps: 3004800
Total steps: 3007200
Total steps: 3009600
Total steps: 3012000
Total steps: 3014400
Total steps: 3016800
Total steps: 3019200
Total steps: 3021600
Total steps: 3024000
Total steps: 3026400
Total steps: 3028800
Total steps: 3031200
Total steps: 3033600
Total steps: 3036000
Total steps: 3038400
Total steps: 3040800
Total steps: 3043200
Total steps: 3045600
Total steps: 3048000
Total steps: 3050400
Total steps: 3052800
Total steps: 3055200
Total steps: 3057600
Total steps: 3060000
Total steps: 3062400
Total steps: 3064800
Total steps: 3067200
Total steps: 3069600
Total steps: 3072000
Total steps: 3074400
Total steps: 3076800
Total steps: 3079200
Total steps: 3081600
Total steps: 3084000
Total steps: 3086400
Total steps: 3088800
Total steps: 3091200
Total steps: 3093600
Total steps: 3096000
Total steps: 3098400
Total steps: 3100800
Total steps: 3103200
Total steps: 3105600
Total steps: 3108000
Total steps: 3110400
Total steps: 3112800
Total steps: 3115200
Total steps: 3117600
Total steps: 3120000
Total steps: 3122400
Total steps: 3124800
Total steps: 3127200
Total steps: 3129600
Total steps: 3132000
Total steps: 3134400
Total steps: 3136800
Total steps: 3139200
Total steps: 3141600
Total steps: 3144000
Total steps: 3146400
Total steps: 3148800
Total steps: 3151200
Total steps: 3153600
Total steps: 3156000
Total steps: 3158400
Total steps: 3160800
Total steps: 3163200
Total steps: 3165600
Total steps: 3168000
Total steps: 3170400
Total steps: 3172800
Total steps: 3175200
Total steps: 3177600
Total steps: 3180000
Total steps: 3182400
Total steps: 3184800
Total steps: 3187200
Total steps: 3189600
Total steps: 3192000
Total steps: 3194400
Total steps: 3196800
Total steps: 3199200
Total steps: 3201600
Total steps: 3204000
Total steps: 3206400
Total steps: 3208800
Total steps: 3211200
Total steps: 3213600
Total steps: 3216000
Total steps: 3218400
Total steps: 3220800
Total steps: 3223200
Total steps: 3225600
Total steps: 3228000
Total steps: 3230400
Total steps: 3232800
Total steps: 3235200
Total steps: 3237600
Total steps: 3240000
Total steps: 3242400
Total steps: 3244800
Total steps: 3247200
Total steps: 3249600
Total steps: 3252000
Total steps: 3254400
Total steps: 3256800
Total steps: 3259200
Total steps: 3261600
Total steps: 3264000
Total steps: 3266400
Total steps: 3268800
Total steps: 3271200
Total steps: 3273600
Total steps: 3276000
Total steps: 3278400
Total steps: 3280800
Total steps: 3283200
Total steps: 3285600
Total steps: 3288000
Total steps: 3290400
Total steps: 3292800
Total steps: 3295200
Total steps: 3297600
Total steps: 3300000
Total steps: 3302400
Total steps: 3304800
Total steps: 3307200
Total steps: 3309600
Total steps: 3312000
Total steps: 3314400
Total steps: 3316800
Total steps: 3319200
Total steps: 3321600
Total steps: 3324000
Total steps: 3326400
Total steps: 3328800
Total steps: 3331200
Total steps: 3333600
Total steps: 3336000
Total steps: 3338400
Total steps: 3340800
Total steps: 3343200
Total steps: 3345600
Total steps: 3348000
Total steps: 3350400
Total steps: 3352800
Total steps: 3355200
Total steps: 3357600
Total steps: 3360000
Total steps: 3362400
Total steps: 3364800
Total steps: 3367200
Total steps: 3369600
Total steps: 3372000
Total steps: 3374400
Total steps: 3376800
Total steps: 3379200
Total steps: 3381600
Total steps: 3384000
Total steps: 3386400
Total steps: 3388800
Total steps: 3391200
Total steps: 3393600
Total steps: 3396000
Total steps: 3398400
Total steps: 3400800
Total steps: 3403200
Total steps: 3405600
Total steps: 3408000
Total steps: 3410400
Total steps: 3412800
Total steps: 3415200
Total steps: 3417600
Total steps: 3420000
Total steps: 3422400
Total steps: 3424800
Total steps: 3427200
Total steps: 3429600
Total steps: 3432000
Total steps: 3434400
Total steps: 3436800
Total steps: 3439200
Total steps: 3441600
Total steps: 3444000
Total steps: 3446400
Total steps: 3448800
Total steps: 3451200
